,name,region,tel,keyword,photo,address,lat,lon
18,인제산촌민속박물관,강원 인제군,033-462-2086,"['강원권', '교과서속여행', '기차여행', '문화시설', '미세먼지_피하는_실내여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=d06f22eb-36d3-4293-9298-8103c9cbc82b&thumb,강원도 인제군 인제읍 인제로156번길 50,38.06277763,128.1717233
19,태백 고생대자연사박물관,강원 태백시,033-581-3003,"['강원권', '교과서속여행', '문화시설', '미세먼지_피하는_실내여행', '박물관']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=9e9f97ec-19dd-4d72-9f36-5d2a2ffbc915&thumb,강원도 태백시 태백로 2249,37.0948994,129.03963190000002
20,평창무이예술관,강원 평창군,033-335-4118,"['가족여행', '강원권', '기차여행', '데이트코스', '문화시설', '미술관', '실내여행지']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=30bf770c-3f8f-43e6-8edc-cbfb8411c24c&thumb,강원도 평창군 봉평면 사리평길 233,37.61527565,128.3487846
21,오산리선사유적박물관,강원 양양군,033-670-2442,"['강원권', '교과서속여행', '문화시설', '박물관', '실내여행지', '아이와함께', '오산리선사유적박물관']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=f4d562b2-aea9-4416-8863-108c462786f0&thumb,강원도 양양군 손양면 학포길 33,38.08589573,128.6604739
22,정동진시간박물관,강원 강릉시,033-645-4540,"['강원권', '문화시설', '박물관', '정동진시간박물관']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=82bf23a4-4f68-4cd5-b8bd-4330e82d2811&thumb,강원도 강릉시 강동면 헌화로 990-1,37.68694053,129.0375964
23,춘천막국수체험박물관,강원 춘천시,033-244-8869,"['강원권', '교과서속여행', '문화시설', '박물관', '사계절', '실내여행지', '아이와함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=aa7d31f5-80ca-44ca-bea1-dd068df0e391&thumb,강원도 춘천시 신북읍 신북로 264,37.94879306,127.74977990000001
24,고판화박물관,강원 원주시,033-761-7885,"['가족과함께', '가족여행', '강원권', '고판화박물관', '문화시설', '문화체험', '박물관']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=f1ac01f4-d131-4347-987c-39425162a623&thumb,강원도 원주시 신림면 물안길 62,37.25743819,128.1280298
25,철암탄광역사촌,강원 태백시,033-582-8070,"['강원권', '문화시설', '박물관', '아이와함께', '역사', '역사공부', '역사촌', '철암탄광역사촌']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=52b8f9b0-f169-46b3-ae8c-861b0a0511a9&thumb,강원도 태백시 동태백로 404,37.11423472,129.0371857
26,화진포역사안보전시관,강원 고성군,033-680-3677,"['가족여행', '교과서속여행', '문화시설', '바다풍경', '봄나들이', '아이와함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=9a7ffa4f-97ba-4f0f-b289-0ee2b4e2f691&thumb,강원도 고성군 거진읍 화진포길 300-1,38.473643,128.44191999999998
27,6.25 전쟁체험전시관,강원 고성군,033-682-0088,"['6.25전쟁체험전시관', '강원권', '교과서속여행', '문화시설', '아이와함께', '역사를품은곳']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=4b738779-becb-4540-a5e9-7e34ffb2bded&thumb,강원도 고성군 현내면 금강산로 481,38.51438609,128.416703
28,박수근미술관,강원 양구군,033-480-2655,"['DMZ', '강원권', '기차여행', '나홀로여행', '단체관람', '당일치기여행', '문화시설']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=cc79cf8e-ef90-41a2-abfb-a35f059e2de7&thumb,강원도 양구군 양구읍 박수근로 265-15,38.096241299999996,127.98157649999999
29,원주역사박물관,강원 원주시,033-737-4371,"['가족여행', '강원권', '당일치기여행', '문화시설', '박물관', '서울근교여행', '아이와함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=72fb5f69-87b4-4ec7-99ba-51a9308a3a12&thumb,강원도 원주시 봉산로 134,37.34309272,127.9664064
30,정선아리랑센터(아리랑박물관),강원 정선군,033-560-3000,"['가족과함께', '공연&전시', '문화시설', '아이와함께', '역사를품은곳', '역사속']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=0f3ba194-b70d-44df-9beb-10f918b37b9d&thumb,강원도 정선군 정선읍 애산로 51,37.37638383,128.671536
31,강원도 산림박물관,강원 춘천시,033-248-6685,"['강원권', '강원도산림박물관', '교과서속여행', '문화시설', '박물관', '사계절']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=e0b62802-f54a-48ba-b035-235ed4934e17&thumb,강원도 춘천시 화목원길 24,37.92264687,127.7251595
32,영월아프리카미술박물관,강원 영월군,033-372-3229,"['강원권', '걷기길', '교과서속여행', '문화시설', '박물관', '아이와함께', '영월아프리카미술박물관']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=8ee0c558-38ab-408b-8ac5-49ecdb6f150d&thumb,강원도 영월군 김삿갓면 영월동로 1107-1,37.13187895,128.5353509
33,석봉도자기미술관,강원 속초시,033-638-7712,"['강원권', '기차여행', '단체관람', '문화시설', '박물관', '석봉도자기미술관', '아이와함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=fc7c6eb9-bcb2-4170-8c9a-736e226d4047&thumb,강원도 속초시 엑스포로 156,38.19795098,128.5825629
34,속초문화원,강원 속초시,033-632-1231,"['강원권', '기차여행', '문화시설', '속초문화원', '아이와함께', '체험학습']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=d7c3a4a9-b636-49a3-b803-0089f8ee8210&thumb,강원도 속초시 번영로 155,38.21304612,128.58837240000003
35,남이섬 노래박물관,강원 춘천시,031-580-8193,"['가요전시관', '가족과함께', '가평군', '강원도', '공연', '남산면', '남이섬', '남이섬가볼만한곳']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=01bd4aa1-602e-47dd-816c-7123276cfa95&thumb,강원도 춘천시 남산면 남이섬길 1,37.79012495,127.5261287
36,설악트릭미술관,강원 고성군,033-632-1311,"['가족여행', '가족체험여행', '강원권', '데이트코스', '문화시설', '미술관', '사진찍기']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=0578d94a-d8eb-4556-8ccd-72b9abf83a71&thumb,강원도 고성군 토성면 고성대로 47-24,38.20960704,128.5021644
37,에티오피아 한국전 참전기념관,강원 춘천시,033-240-7649,"['강원권', '교과서속여행', '기념관', '문화시설', '미세먼지_피하는_실내여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=865ba02a-3477-4044-ab8f-284b670d1807&thumb,강원도 춘천시 이디오피아길 1,37.8737992,127.71178880000001
38,화진포생태박물관,강원 고성군,033-681-8311,"['가족여행', '강원권', '교과서속여행', '문화시설', '미세먼지_피하는_실내여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=4c544d75-ad66-40db-8ab5-4fc831637b24&thumb,강원도 고성군 거진읍 화진포길 278,38.47218738,128.4436214
39,진부령미술관,강원 고성군,033-681-7667,"['강원권', '문화시설', '미세먼지_피하는_실내여행', '미술관', '실내관광지', '실내여행지']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=4b2a4cd0-9a22-40e3-8cb8-a176f6b0bf86&thumb,강원도 고성군 간성읍 흘리길 15-10,38.26547302,128.359622
40,조각미술관 바우지움,강원 고성군,033-632-6632,"['강원권', '고성가볼만한곳', '문화시설', '문화예술', '문화예술활동', '미술관']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=5387456d-f39a-4441-a81c-871578a48658&thumb,강원도 고성군 토성면 원암온천3길 37,38.21234555,128.5151501
41,영월 동굴생태관,강원 영월군,033-372-6828,"['가족과함께', '강원권', '문화시설', '미세먼지탈출_이색동굴여행', '박물관', '생태관광지']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=f3fb5015-c148-4475-b2a5-cd5ddfc3300a&thumb,강원도 영월군 김삿갓면 영월동로 1121-15,37.13035675,128.5367419
42,조선민화박물관,강원 영월군,033-375-6100,"['가족여행', '강원권', '기차여행', '문화시설', '박물관', '아이와함께', '전시관']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=4e62d93b-a0c4-4602-b8fe-3a7228f0000b&thumb,강원도 영월군 김삿갓면 김삿갓로 432-10,37.09631131,128.60662079999997
43,태백시 문화예술회관,강원 태백시,033-550-2781,"['가족여행', '강원권', '공연장', '문화시설', '사계절', '실내여행지', '예술', '태백시문화예술회관']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=2447af79-c284-4bc7-9a54-a19d04435579&thumb,강원도 태백시 고원로 203,37.17196057,128.98803940000002
44,춘천미술관,강원 춘천시,033-241-1856,"['강원권', '기차여행', '당일치기여행', '문화시설', '미술관', '서울근교여행', '연인과함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=c9c75c40-294e-4813-8ef7-e3914ab6d765&thumb,강원도 춘천시 서부대성로 71,37.88237413,127.7313736
45,인제 하늘내린센터,강원 인제군,033-460-8900,"['강원권', '문화시설', '사계절', '스포츠센터', '인제하늘내린센터', '친구와함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=1604226d-bf7b-4d6c-ae38-a0be5dd85646&thumb,강원도 인제군 인제읍 비봉로44번길 100,38.06067411,128.164952
46,강원 신재생에너지전시관,강원 평창군,033-336-5008,"['강원권', '강원신재생에너지전시관', '교과서속여행', '문화시설', '사계절', '실내여행지']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=4e78b540-0974-43fe-bfff-95b85a38a8fe&thumb,강원도 평창군 대관령면 경강로 5754,37.68552302,128.7583027
47,국립춘천박물관,강원 춘천시,033-260-1500,"['강원권', '교과서속여행', '국립춘천박물관', '기차여행', '문화시설', '미세먼지_피하는_실내여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=15496bfd-78b6-4b02-ae3c-ea949137f043&thumb,강원도 춘천시 우석로 70,37.86401877,127.75219070000001
48,만해문학박물관,강원 인제군,033-462-2303,"['가족여행', '강원권', '기차여행', '당일치기여행', '만해문학박물관', '문화시설']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=12c117a8-2253-404e-9109-36f8a271324c&thumb,강원도 인제군 북면 만해로 91,38.18753627,128.318117
49,삼척 민물고기전시관,강원 삼척시,033-570-4452,"['가족체험여행', '기차여행', '농촌체험여행', '당일치기여행', '문화시설', '삼척민물고기전시관']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=59abc2df-e48d-46fe-92b1-082ff9a66d66&thumb,강원도 삼척시 근덕면 초당길 234,37.38769134,129.1966788
50,양구전쟁기념관,강원 양구군,033-480-2674,"['강원권', '교과서속여행', '기념관', '문화시설', '아이와함께', '양구전쟁기념관']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=4c42c049-0db5-4215-92ca-499c60193ef5&thumb,강원도 양구군 해안면 해안서화로 35,38.2900609,128.1455851
51,삼척문화예술회관,강원 삼척시,033-572-1331,"['강원권', '단체관람', '문화시설', '삼척문화예술회관', '아이와함께', '연인과함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=d2919c34-f9f9-41ed-9769-5b1154322dc4&thumb,강원도 삼척시 엑스포로 45,37.43896328,129.1601383
52,화천생태영상센터,강원 화천군,033-441-2050,"['가족여행', '강원권', '교육장', '교육프로그램', '문화시설', '사계절', '아이와함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=0bd8a7bb-1f56-48a4-b9b1-c325b8f1ae32&thumb,강원도 화천군 하남면 용화산로 1357,38.09020734,127.6973318
53,모형항공기박물관,강원 춘천시,033-262-5123,"['가족과함께', '모형항공기', '모형항공기박물관', '문화시설', '박물관', '비행기']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=034eb9f6-6ae6-452b-bdce-be719290040a&thumb,강원도 춘천시 동산면 영서로 141,37.75170977,127.82225459999998
54,정선향토박물관,강원 정선군,033-560-3418,"['가족여행', '강원권', '교과서속여행', '기차여행', '문화시설', '박물관', '아이와함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=f5b50651-9f6f-4f40-a2f2-f728e0a6f0fd&thumb,강원도 정선군 화암면 화암동굴길 12-2,37.34999156,128.7891456
55,춘천인형극장,강원 춘천시,033-242-8450,"['가족과함께', '극장', '문화시설', '상설공연', '소품전시', '아이와함께', '인형극장']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=784ecda6-5a09-4fb4-9612-86fb1214b591&thumb,강원도 춘천시 영서로 3017,37.92101625,127.72010449999999
56,속초문화회관,강원 속초시,033-639-2080,"['가족여행', '강원권', '공연장', '기차여행', '데이트코스', '문화시설', '속초문화회관']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=0aa7438e-0a80-4c34-9c21-1ff9be607c04&thumb,강원도 속초시 번영로 155,38.21304612,128.58837240000003
57,숲사랑홍보관,강원 강릉시,033-644-4852,"['강원권', '교과서속여행', '문화시설', '사계절', '숲사랑홍보관', '실내여행지']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=a9c966db-ddd2-4694-9d48-a4c8f0dc664f&thumb,강원도 강릉시 사천면 미노길 1,37.81715301,128.85131869999998
58,화천박물관,강원 화천군,033-440-2549,"['가족과함께', '강원권', '겨울방학가볼만한곳', '남녀노소', '문화시설', '미세먼지_피하는_실내여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=8772086a-de8f-46e8-aa24-69d489932356&thumb,강원도 화천군 하남면 춘화로 3337,38.09782649,127.70408859999999
59,난고 김삿갓 문학관,강원 영월군,033-375-7900,"['강원권', '기차여행', '난고김삿갓문화관', '당일치기여행', '문화시설', '아이와함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=4cb0c043-9e44-4593-83df-1940b13a8940&thumb,강원도 영월군 김삿갓면 김삿갓로 216-22,37.07949201,128.60173659999998
60,양구백자박물관,강원 양구군,033-480-2664,"['가족과함께', '강원권', '교과서속여행', '남녀노소', '도자기체험', '문화시설']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=4c85e187-5061-4eb8-919d-0097b4931e78&thumb,강원도 양구군 방산면 평화로 5182,38.20727188,127.95140359999998
61,강원종합박물관,강원 삼척시,033-541-1523,"['강원도권', '강원종합박물관', '기차여행', '문화시설', '박물관', '복합문화공간']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=d2ba5ac5-a609-4f55-b6c6-7c848c595a02&thumb,강원도 삼척시 신기면 강원남부로 3016,37.35140608,129.08414390000002
62,엄마꿈박물관,강원 강릉시,033-823-2700,"['가족과함께', '강릉가볼만한곳', '남녀노소', '문화시설', '복합문화공간', '아이와함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=9866fb52-3133-432a-9259-b94d01200a7c&thumb,강원도 강릉시 구정면 정등로 130,37.72922013,128.87416509999997
63,동강사진박물관,강원 영월군,033-375-4554,"['강원권', '교과서속여행', '동강사진박물관', '문화시설', '미세먼지_피하는_실내여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=edc8da93-ecdd-4c0e-bd38-94971e8aae13&thumb,강원도 영월군 영월읍 영월로 1909-10,37.18193994,128.46155109999998
64,태백석탄박물관,강원 태백시,033-552-7730,"['가족와함께', '강원권', '문화시설', '아이와함께', '역사체험', '태백석탄박물관']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=e4c9ebfd-e3c3-4eeb-8c31-4dca741aa60b&thumb,강원도 태백시 천제단길 195,37.11724029,128.9505662
65,이승복기념관,강원 평창군,033-332-9351,"['강원권', '걷기길', '걷기여행', '기념관', '문화시설', '사계절', '아이와함께', '이승복기념관']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=d2c13f83-0570-4a06-a9c5-6231bb58612e&thumb,강원도 평창군 용평면 운두령로 500-11,37.67220152,128.4644788
66,월정사 성보박물관(평창),강원 평창군,033-339-7000,"['강원권', '국보', '문화시설', '미세먼지_피하는_실내여행', '불교', '불교문화']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=78f979cc-bcf6-449e-bc92-40fa51a93e95&thumb,강원도 평창군 진부면 오대산로 176,37.71884927,128.60295779999998
67,발해역사관,강원 속초시,033-639-2798,"['가족체험', '문화시설', '미세먼지_피하는_실내여행', '속초시립박물관', '아이와함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=197f7b8f-19dc-4715-b4b9-459de303c73d&thumb,강원도 속초시 신흥2길 16,38.20105323,128.5382041
68,대관령박물관,강원 강릉시,033-660-3830,"['가족여행', '강원권', '기차여행', '나들이', '대관령박물관', '문화시설', '박물관']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=bf919a52-6899-4023-83d5-c5ecb84b0a6e&thumb,강원도 강릉시 성산면 대관령옛길 1,37.71677638,128.80402959999998
69,국립산악박물관,강원 속초시,033-638-4459,"['가족여행', '강원권', '국립산악박물관', '남녀노소', '문화시설', '박물관', '복합레저스포츠']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=801a5ade-553f-4c88-bde2-d8c620192ce7&thumb,강원도 속초시 노학동 735,38.202863,128.540405
70,토지문화관,강원 원주시,033-762-1382,"['가족여행', '강원권', '교과서속여행', '기차여행', '단체체험', '문화시설', '박물관']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=1b4a96fb-6a10-48f8-b212-317cf82355de&thumb,강원도 원주시 흥업면 매지회촌길 79,37.25750686,127.91135039999999
71,태백문화원,강원 태백시,033-553-3160,"['강원도', '문화시설', '문화원', '애향심', '전통문화', '전통문화보존', '지역문화']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=128c84ef-558c-47e6-b6ac-6a3439374491&thumb,강원도 태백시 태백로 1136,37.15672217,128.98945940000002
72,양양문화원,강원 양양군,033-671-8762,"['문화시설', '복합문화공간', '양양문화원', '열린문화공간', '친구와 함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=1d591ba2-62f2-42bb-8494-c4eb05cc0054&thumb,강원도 양양군 양양읍 양양로 114-5,38.07417742,128.6164416
73,춘천문화원,강원 춘천시,033-254-5105,"['강원권', '공공시설', '문화시설', '춘천문화원']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=c432ad65-abbd-49d6-a4b3-ff7efb2e9be2&thumb,강원도 춘천시 퇴계농공로 40,37.84958257,127.7436554
74,횡성문화원,강원 횡성군,033-343-2271,"['강원권', '문화시설', '문화예술교육', '횡성문화원']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=7a03f887-ea31-4316-bd4b-5d9cbfc5f448&thumb,강원도 횡성군 횡성읍 횡성로 371,37.48666226,127.9839932
75,강원경찰박물관,강원 춘천시,033-245-0481,"['강원경찰박물관', '강원권', '기차여행', '단체관람', '문화시설', '박물관', '서울근교여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=a8deb828-9cc4-4ddc-ad19-aa4e23b4f796&thumb,강원도 춘천시 신북읍 신샘밭로 361,37.92530023,127.7499325
76,환희컵박물관,강원 강릉시,033-661-3413,"['가족과함께', '강릉가볼만한곳', '강릉여행', '강릉여행코스', '문화시설', '미세먼지_피하는_실내여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=3ebf64d8-cc17-4f93-a894-6344cff91261&thumb,강원도 강릉시 한밭골길 76-29,37.78973509,128.8654889
77,파로호 안보전시관,강원 화천군,033-440-2563,"['강원권', '문화시설', '안보여행', '역사공부', '역사를품은곳', '역사속', '역사속으로']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=4ffb5b38-edab-47c3-986c-b5e1e8846d2e&thumb,강원도 화천군 간동면 파로호로 208,38.09499168,127.77152949999999
78,양구통일관,강원 양구군,033-480-2674,"['강원권', '교과서속여행', '문화시설', '실내여행지', '아이와함께', '양구통일관']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=1fdef121-59dc-40ba-b1da-ecc24e402fba&thumb,강원도 양구군 해안면 해안서화로 35,38.2900609,128.1455851
79,영월곤충박물관,강원 영월군,033-374-5888,"['가족과함께', '곤충류', '곤충박물관', '문화시설', '박물관', '아이와함께', '자연체험']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=a19f6e5b-c565-4623-87eb-2a2100f5c2fa&thumb,강원도 영월군 영월읍 동강로 716,37.22820572,128.505455
80,춘천시립도서관,강원 춘천시,033-245-5102,"['가족와함께', '강원권', '문화시설', '아이와함께', '춘천시립도서관']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=914b9938-2f13-4023-bb18-50ac02155f1e&thumb,강원도 춘천시 우석로 100,37.86198997,127.7550186
81,고성문화원,강원 고성군,033-681-2922,"['고성문화원', '문화시설', '복합문화공간', '열린문화공간']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=c90c3a1b-31f0-4bdf-9495-6d598ddff4c3&thumb,강원도 고성군 간성읍 간성로 71-7,38.37873572,128.46690790000002
82,단종역사관,강원 영월군,033-370-2468,"['강원권', '교과서속여행', '기념관', '기차여행', '단종역사관', '문화시설', '박물관']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=781679c2-ad06-4a0a-8477-1f085a76656d&thumb,강원도 영월군 영월읍 단종로 190,37.19681856,128.4528928
