No,name,region,address,경도,위도,상태
235,경주 선덕여왕릉,경북 경주시,경상북도 경주시 배반동,?,?,실패
239,경주 배동 삼릉,경북 경주시,경상북도 경주시 배동,?,?,실패
240,구미 채미정,경북 구미시,경상북도 구미시 남통동,?,?,실패
244,영덕조각공원,경북 영덕군,경상북도 영덕군 영덕읍 창포리,?,?,실패
246,보문정 (경주),경북 경주시,경상북도 경주시 보문로,?,?,실패
248,봉화 금강소나무림,경북 봉화군,경상북도 봉화군 소천면 청옥로,?,?,실패
254,경주 감은사지,경북 경주시,경상북도 경주시 양북면 용당리,?,?,실패
258,호미곶 등대,경북 포항시,경상북도 기념물 제39호(1982년 8월 4일 지정),?,?,실패
266,선유동계곡(문경),경북 문경시,경상북도 문경시 가은읍 완장리,?,?,실패
269,도동항,경북 울릉도,경상북도 울릉군 울릉읍 도동1길,?,?,실패
272,경천대랜드,경북 상주시,경상북도 상주시 사벌면 경천로 644,?,?,실패
274,"관음도 (울릉도, 독도 국가지질공원)",경북 울릉도,경상북도 울릉군 북면 천부리,?,?,실패
275,가야산국립공원(백운동 지구),경북 성주군,경북 성주군 수륜면 백운리,?,?,실패
279,칠포해수욕장,경북 포항시,경상북도 포항시 북구 흥해읍 해안로,?,?,실패
281,독용산성,경북 성주군,경북 성주군 가천면 금봉리,?,?,실패
282,쌍룡계곡,경북 문경시,경상북도 문경시 농암면 내서리 쌍룡계곡,?,?,실패
283,덕구계곡 (경북 동해안 국가지질공원),경북 울진군,경상북도 울진군 북면 덕구리,?,?,실패
287,성주 성산동 고분군,경북 성주군,경상북도 성주군 성주읍 성산리,?,?,실패
291,구마계곡(고선계곡),경북 봉화군,경상북도 봉화군 소천면 고선리,?,?,실패
293,본신계곡,경북 영양군,경상북도 영양군 수비면 본신리,?,?,실패
294,"거북바위 및 향나무 자생지 (울릉도, 독도 국가지질공원)",경북 울릉도,경상북도 울릉군 서면 태하리,?,?,실패
296,왕피천생태탐방로,경북 울진군,경북 울진군 근남면 구산리,?,?,실패
306,소백산국립공원(경북),경북 영주시,경북 영주시 풍기읍,?,?,실패
307,운문댐. 동창천,경북 청도군,경상북도 청도군 운문면,?,?,실패
309,고령 지산동 고분군,경북 고령군,경상북도 고령군 고령읍 지산리,?,?,실패
311,경주 남산 용장사곡 삼층석탑,경북 경주시,경상북도 경주시 내남면 용장리,?,?,실패
322,차유돔바위,경북 영덕군,경상북도 영덕군 축산면,?,?,실패
326,석천계곡,경북 봉화군,경상북도 봉화군 봉화읍 삼계리,?,?,실패
332,청룡사(상주),경북 상주시,경상북도 상주시 중동면 오상리,?,?,실패
338,사미정계곡,경북 봉화군,경상북도 봉화군 법전면 소천리,?,?,실패
349,화산산성,경북 군위군,경상북도 군위군 고로면 화북리,?,?,실패
350,금강소나무생태경영림,경북 영양군,경상북도 영양군 수비면 신원리,?,?,실패
353,사자바위,경북 울릉도,경상북도 울릉군 서면,?,?,실패
355,의성 경덕왕릉,경북 의성군,경상북도 의성군 금성면 대리리,?,?,실패
356,옥계계곡,경북 영덕군,경상북도 영덕군 달산면 팔각산로,?,?,실패
363,운제산,경북 포항시,경상북도 포항시 남구 대송면 대각리,?,?,실패
364,석포전망대,경북 울릉도,경상북도 울릉군 북면 천부리,?,?,실패
365,경북 청송,경북 청송군,경상북도 청송군 전역,?,?,실패
369,의성 조문국사적지,경북 의성군,경상북도 의성군 금성면 대리리,?,?,실패
371,금오산성,경북 구미시,경상북도 구미시 남통동,?,?,실패
372,마구령/고치령,경북 영주시,경상북도 영주시 단산면 영단로,?,?,실패
382,경북 청송 부동·파천 [슬로시티],경북 청송군,경상북도 청송군 부동면,?,?,실패
384,창수전시림,경북 영덕군,경상북도 영덕군 창수면 창수4길,?,?,실패
392,예천 금남리 황목근(팽나무),경북 예천군,경상북도 예천군 용궁면 금남리,?,?,실패
398,신성리 공룡발자국 (청송 국가지질공원),경북 청송군,경상북도 청송군 안덕면 신성리,?,?,실패
405,봉길대왕암해변,경북 경주시,경상북도 경주시 양북면 봉길해안길,?,?,실패
408,포항 덕동문화마을,경북 포항시,경상북도 포항시 북구 기북면 오덕리,?,?,실패
410,신선계곡,경북 울진군,경상북도 울진군 온정면 백암온천로,?,?,실패
411,저동항,경북 울릉도,경상북도 울릉군 울릉읍 울릉순환로,?,?,실패
414,달전리 주상절리 (경북 동해안 국가지질공원),경북 포항시,경상북도 포항시 남구 연일읍 달전리,?,?,실패
422,장안사(예천),경북 예천군,경상북도 예천군 용궁면 향석리,?,?,실패
425,경주 낭산 일원,경북 경주시,경상북도 경주시 보문마을길,?,?,실패
428,"성인봉 원시림 (울릉도, 독도 국가지질공원)",경북 울릉도,경상북도 울릉군 서면 남양리,?,?,실패
441,소광리계곡,경북 울진군,경상북도 울진군 금강송면 십이령로,?,?,실패
444,상주 신앙 고백비,경북 상주시,경상북도 상주시 청리면 삼괴리,?,?,실패
445,주왕산 국립공원,경북 청송군,경상북도 청송군 부동면 공원길 169-7,?,?,실패
446,일월산,경북 영양군,경상북도 영양군 일월면 오리리,?,?,실패
455,가오실공원,경북 예천군,경상북도 예천군 개포면 가곡리,?,?,실패
462,남미질부성,경북 포항시,경상북도 포항시 북구 흥해읍 망천리,?,?,실패
463,옥량폭포,경북 상주시,경상북도 상주시 화북면 문장로,?,?,실패
464,청도 범곡리 지석묘군,경북 청도군,경상북도 청도군 화양읍 범곡리,?,?,실패
471,"죽암 몽돌해안 (울릉도, 독도 국가지질공원)",경북 울릉도,경북 울릉군 북면,?,?,실패
473,개천지 / 조성지,경북 의성군,경상북도 의성군 안계면 개천지길,?,?,실패
477,주흘산,경북 문경시,경상북도 문경시 문경읍,?,?,실패
497,덕천해수욕장,경북 영덕군,경상북도 영덕군 병곡면 고래불로,?,?,실패
505,전사벌왕릉,경북 상주시,경상북도 상주시 사벌면 화달리,?,?,실패
514,팔공산도립공원(군위군),경북 군위군,경북 군위군 부계면 남산리,?,?,실패
522,덕수공원,경북 포항시,경상북도 포항시 북구 덕수동,?,?,실패
528,속리산국립공원(경북),경북 상주시,경상북도 상주시 화북면,?,?,실패
542,보현산(영천),경북 영천시,경상북도 영천시 화북면 정각리,?,?,실패
546,금성산,경북 의성군,경상북도 의성군 금성면,?,?,실패
555,죽령,경북 영주시,경상북도 영주시 풍기읍 수철리,?,?,실패
556,각화산,경북 봉화군,경상북도 봉화군 춘양면,?,?,실패
557,선몽대,경북 예천군,경북 예천군 호명면 백송리 (내성천변),?,?,실패
564,안동 조탑리 오층전탑,경북 안동시,경상북도 안동시 일직면 조탑리,?,?,실패
573,전고령가야왕릉,경북 상주시,경상북도 상주시 함창읍 회천리,?,?,실패
576,문경새재 3관문(조령관),경북 문경시,경상북도 문경시 문경읍 상초리,?,?,실패
582,백천계곡,경북 봉화군,경상북도 봉화군 석포면 백천길,?,?,실패
585,견훤산성,경북 상주시,경상북도 상주시 화북면 장암리,?,?,실패
588,수도산,경북 김천시,경상북도 김천시 증산면 수도길,?,?,실패
591,영천 청제비,경북 영천시,경상북도 영천시 금호읍 영천산단로,?,?,실패
597,옥산 세심마을,경북 경주시,경상북도 경주시 안강읍 세심길,?,?,실패
600,운달산,경북 문경시,경상북도 문경시 산북면,?,?,실패
610,영천 자천리 오리장림,경북 영천시,경상북도 영천시 화북면 자천리,?,?,실패
611,군위 불로리 마애보살입상,경북 군위군,경상북도 군위군 효령면 불로리,?,?,실패
615,후포 등대,경북 울진군,경상북도 울진군 후포면 울진대게로,?,?,실패
616,황장산,경북 문경시,경상북도 문경시 동로면,?,?,실패
618,통구미몽돌해변,경북 울릉도,경상북도 울릉군 서면 울릉순환로,?,?,실패
623,왕피천계곡,경북 울진군,경상북도 울진군 금강송면 왕피길,?,?,실패
629,상주 화달리 삼층석탑,경북 상주시,경상북도 상주시 사벌면 화달1길 2,?,?,실패
630,해뜨는농장,경북 청송군,경상북도 청송군 부동면 주왕산로 494,?,?,실패
632,운문산군립공원,경북 청도군,경상북도 청도군 운문면,?,?,실패
633,경주 남산 불곡 마애여래좌상,경북 경주시,경상북도 경주시 문천길,?,?,실패
637,임하댐,경북 안동시,경상북도 안동시 임하면,?,?,실패
651,내수전몽돌해변,경북 울릉도,경상북도 울릉군 울릉읍 저동리,?,?,실패
653,백암산(울진),경북 울진군,경북 울진군 온정면,?,?,실패
654,조령산,경북 문경시,경상북도 문경시 문경읍,?,?,실패
669,고령 주산성,경북 고령군,경상북도 고령군 고령읍 중화리,?,?,실패
674,미숭산,경북 고령군,경상남도 합천군 야로면 미숭산로,?,?,실패
689,영해 3.1 의거탑,경북 영덕군,경상북도 영덕군 영해면 성내리,?,?,실패
693,우륵기념탑,경북 고령군,경상북도 고령군 고령읍 주산순환길 209-18,?,?,실패
706,흥환간이해수욕장,경북 포항시,경상북도 포항시 남구 동해면 호미로,?,?,실패
716,하저해수욕장,경북 영덕군,경상북도 영덕군 강구면 하저리,?,?,실패
718,황악산,경북 김천시,경상북도 김천시 대항면 직지사길,?,?,실패
722,봉화 대헌리 열목어 서식지,경북 봉화군,경상북도 봉화군 석포면 둔지1길,?,?,실패
729,경주 진덕여왕릉,경북 경주시,경상북도 경주시 현곡면 오류리,?,?,실패
737,경주 남산 용장사지 마애여래좌상,경북 경주시,경상북도 경주시 내남면 용장리,?,?,실패
742,선달산(경북),경북 봉화군,경상북도 봉화군 물야면 오전리,?,?,실패
748,주방계곡,경북 청송군,경상북도 청송군 주왕산면 산의리,?,?,실패
750,학소대,경북 군위군,경상북도 군위군 고로면 화북리,?,?,실패
752,달기폭포,경북 청송군,경상북도 청송군 청송읍 달기폭포길,?,?,실패
758,영주 순흥 어숙묘,경북 영주시,경상북도 영주시 순흥면 태장리,?,?,실패
766,명활산성,경북 경주시,경상북도 경주시 천군동,?,?,실패
772,단석산,경북 경주시,경상북도 경주시 건천읍,?,?,실패
775,덕천서원,경북 성주군,경상북도 성주군 수륜면 수륜리,?,?,실패
786,금관총,경북 경주시,경상북도 경주시 노서동,?,?,실패
792,경주 내물왕릉,경북 경주시,경상북도 경주시 교동,?,?,실패
793,경주석장동암각화,경북 경주시,경상북도 경주시 석장동,?,?,실패
796,경주 남산동 동ㆍ서 삼층석탑,경북 경주시,경상북도 경주시 남산동,?,?,실패
799,경주 망덕사지,경북 경주시,경상북도 경주시 배반동,?,?,실패
800,낙동강,경북 구미시,경상북도 구미시 남구미로,?,?,실패
802,감응사(경북),경북 성주군,경상북도 성주군 월항면 대산리,?,?,실패
807,팔공산도립공원(은해사지구),경북 영천시,경상북도 영천시 청통면 거조길,?,?,실패
808,예천 사부리소나무,경북 예천군,경상북도 예천군 용문면 사부리,?,?,실패
809,고령 지산리 당간지주,경북 고령군,경상북도 고령군 대가야읍 지산리,?,?,실패
816,소백산하늘자락공원,경북 예천군,경상북도 예천군 용문면 내지리,?,?,실패
819,고령 고아리 벽화 고분,경북 고령군,경상북도 고령군 대가야읍 고아리,?,?,실패
826,선도산,경북 경주시,경북 경주시 서악동,?,?,실패
836,경주 일성왕릉,경북 경주시,경상북도 경주시 탑동,?,?,실패
840,영주 신암리 마애여래삼존상,경북 영주시,경상북도 영주시 이산면 신암리,?,?,실패
849,도동서원(김천),경북 김천시,경상북도 김천시 구성면 상좌원3길,?,?,실패
851,염불사지,경북 경주시,경상북도 경주시 남산동,?,?,실패
861,망미정 우송당,경북 청송군,경상북도 청송군 청송읍 월막리,?,?,실패
862,동산계곡,경북 군위군,경상북도 군위군 부계면 원효길,?,?,실패
870,갑장사(상주),경북 상주시,경상북도 상주시 지천동,?,?,실패
872,청송 신기리 밀양박씨효부각,경북 청송군,경상북도 청송군 파천면 신기리,?,?,실패
877,경주 효소왕릉,경북 경주시,경상북도 경주시 조양동,?,?,실패
880,고래불 해안 (경북 동해안 국가지질공원),경북 영덕군,경상북도 영덕군 병곡면 병곡리,?,?,실패
882,청도 합천리 석조아미타여래입상,경북 청도군,경상북도 청도군 화양읍 합천리,?,?,실패
884,영천보성리암각화,경북 영천시,경상북도 영천시 청통면 보성리,?,?,실패
890,상석리 왜가리(백로) 서식지,경북 영주시,경상북도 영주시 부석면 감산길,?,?,실패
898,상주 금흔리 이부곡 토성,경북 상주시,경상북도 상주시 사벌면 엄안리,?,?,실패
912,노음산,경북 상주시,경상북도 상주시 내서면 북장리,?,?,실패
915,대율리 송림,경북 군위군,경상북도 군위군 부계면 대율리,?,?,실패
920,통구미마을,경북 울릉도,경상북도 울릉군 서면 통구미1길,?,?,실패
924,영일칠포리암각화군,경북 포항시,경상북도 포항시 북구 흥해읍 해안로,?,?,실패
937,"삼선암 (울릉도, 독도 국가지질공원)",경북 울릉도,경상북도 울릉군 북면 천부리,?,?,실패
963,관문산,경북 경주시,경북 경주시 외동읍 모화리,?,?,실패
968,용암정,경북 안동시,경상북도 안동시 도산면 선성길,?,?,실패
985,경주 효공왕릉,경북 경주시,경상북도 경주시 배반동,?,?,실패
996,목은이색기념관,경북 영덕군,경상북도 영덕군 영해면 괴시리,?,?,실패
997,구룡포 말목장성탐방로,경북 포항시,경상북도 포항시 남구 구룡포읍 구룡포리,?,?,실패
999,삼화령,경북 경주시,경상북도 경주시 내남면,?,?,실패
1002,용천약수,경북 청도군,경상북도 청도군 운문면 정상약수길,?,?,실패
1005,청룡사(예천),경북 예천군,경상북도 예천군 용문면 선리,?,?,실패
1012,태하마을,경북 울릉도,경상북도 울릉군 서면 태하길,?,?,실패
1014,옥방천,경북 봉화군,경상북도 봉화군 소천면 분천리,?,?,실패
1016,청송 충혼탑,경북 청송군,경상북도 청송군 청송읍 금곡리,?,?,실패
1030,남양마을,경북 울릉도,경북 울릉군 서면,?,?,실패
1033,청옥산,경북 봉화군,경상북도 봉화군 석포면,?,?,실패
1038,수하계곡(영양),경북 영양군,경상북도 영양군 수비면 수하리,?,?,실패
1045,비학산,경북 포항시,경상북도 포항시 신광면 상읍리,?,?,실패
1047,벽도산,경북 경주시,경상북도 경주시 두대길,?,?,실패
1065,천부항,경북 울릉도,경상북도 울릉군 북면 천부리,?,?,실패
1071,반야계곡,경북 봉화군,경상북도 봉화군 석포면 반야길,?,?,실패
1077,팔각산,경북 영덕군,경상북도 영덕군 달산면 팔각산로,?,?,실패
1078,문수산,경북 봉화군,경상북도 봉화군 봉성면 우곡리,?,?,실패
1083,남서일몰전망대,경북 울릉도,경상북도 울릉군 서면 남서리,?,?,실패
1084,순흥읍내리 벽화고분,경북 영주시,경상북도 영주시 순흥면 읍내리 산,?,?,실패
1091,한밤실농촌체험마을,경북 영주시,경상북도 영주시 부석면 임곡리,?,?,실패
1092,알봉분지전망대,경북 울릉도,경상북도 울릉군 북면 나리,?,?,실패
1099,검무산,경북 안동시,경상북도 안동시 풍천면 갈전리,?,?,실패
